detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
negative,positive,"[szybki, start]","[szybki, start, wydruk, pierwszej, strony, w, jakieś, 3, sekundy]",4.0,-0.05555555555555555,"szybki start, wydruk pierwszej strony w jakieś 3 sekundy",9.0,9.0,2.0
neutral,positive,[],"[jak, nizej]",4.0,0.0,jak nizej,2.0,2.0,0.0
positive,positive,"[satysfakcja, potrzeba]","[pełna, satysfakcja, łatwa, instalacja, na, potrzeby, domowe, ok, gniazdo, podłączenia, zasilania, mogłoby, być, z, boku, a, nie, z, tyłu, ale, to, jest, subiektywna, potrzeba]",4.0,0.10416666666666667,"Pełna satysfakcja. Łatwa instalacja. Na potrzeby domowe OK.
Gniazdo podłączenia zasilania mogłoby być z boku a nie z tyłu, ale to jest subiektywna potrzeba.",24.0,24.0,2.0
neutral,positive,[],"[bardzo, dobra, drukarka]",4.0,0.0,Bardzo dobra drukarka.,3.0,3.0,0.0
neutral,positive,[],"[ok, polecam]",4.0,0.0,OK Polecam,2.0,2.0,0.0
neutral,positive,[],"[naprawde, super]",5.0,0.0,naprawde super!,2.0,2.0,0.0
positive,positive,[zadowolony],"[kupiłem, dwie, takie, drukareczki, i, jestem, bardzo, zadowolony, głównie, z, ich, bezprzewowodego, interfejsu, takie, rzeczy, w, podobnej, cenie, są, również, u, samsunga, ale, dużo, bardziej, wolę, drukarkę, hp]",4.0,0.03571428571428571,"kupiłem dwie takie drukareczki i jestem bardzo zadowolony głównie z ich bezprzewowodego interfejsu. Takie rzeczy w podobnej cenie są również u Samsunga, ale dużo bardziej wolę drukarkę HP.",28.0,28.0,1.0
neutral,positive,[],"[sprawuje, się, dobrze, używam, jej, w, warunkach, domowych, do, niezbyt, intensywnych, zadań]",4.0,0.0,Sprawuje się dobrze. Używam jej w warunkach domowych do niezbyt intensywnych zadań. ,12.0,12.0,0.0
neutral,positive,[],"[szybka, cicha]",4.0,0.0,"Szybka, cicha",2.0,2.0,0.0
neutral,positive,[],"[jest, ok]",4.0,0.0,jest O.K,2.0,2.0,0.0
negative,positive,"[wada, twardy]","[świetna, mysz, bezprzewodowa, do, laptopa, jedyna, wada, to, troszkę, za, twardy, klik, scrolla, co, może, trochę, denerwować, gdy, używa, się, tego, przycisku, często]",4.0,-0.021739130434782608,Świetna mysz bezprzewodowa do laptopa. Jedyna wada to troszkę za twardy klik scrolla co może trochę denerwować gdy używa się tego przycisku często.,23.0,23.0,2.0
negative,positive,"[myszka, zbyt, miniaturowy]","[myszka, bardzo, dobra, mała, ale, nie, zbyt, mała, co, ważne, odbiornik, bluetouch, jest, miniaturowy, i, nie, wystaje, z, komputera, co, jest, ważne, przy, laptopach, bo, nie, przeszkadza, on, w, przenoszeniu, komputera]",5.0,-0.03225806451612903,"Myszka bardzo dobra, mała, ale nie zbyt mała. Co ważne odbiornik bluetouch jest miniaturowy i nie wystaje z komputera co jest ważne przy laptopach, bo nie przeszkadza on w przenoszeniu komputera ;)",32.0,31.0,3.0
neutral,positive,[],"[jest, super, używam, jej, od, kilku, lat, i, jest, niezawodna]",5.0,0.0,jest super. Używam jej od kilku lat i jest niezawodna,10.0,10.0,0.0
neutral,positive,"[ja, bez]","[mysz, posiadam, od, około, pół, roku, może, trochę, więcej, dobrze, leży, w, dłoni, jak, dla, mnie, dużego, porównania, nie, mam, jest, precyzyjna, działa, na, różnych, powierzchniach, ja, korzystam, z, niej, siedząc, na, łóżku, i, po, materiale, dobrze, śmiga, bateria, myślałem, że, wytrzyma, dłużej, bo, tak, w, sumie, to, używałem, jej, może, z, 48h, bez, wyłączania, ma, głośne, przyciski, i, przewijanie, na, scrollu]",4.0,0.0,"Mysz posiadam od około pół roku, może trochę więcej, dobrze leży w dłoni, jak dla mnie (dużego porównania nie mam) jest precyzyjna. Działa na różnych powierzchniach (ja korzystam z niej siedząc na łóżku, i po materiale dobrze śmiga). Bateria myślałem że wytrzyma dłużej.., bo tak w sumie to używałem jej może z 48h bez wyłączania. Ma głośne przyciski i przewijanie na scrollu",62.0,62.0,2.0
positive,positive,"[dobry, stosunek]","[zgrabna, bardzo, dobry, stosunek, jakości, do, ceny, niezawodna, mam, w, pracy, ponad, 2, lata, teraz, kupuje, do, domu]",5.0,0.05185185185185185,"zgrabna, bardzo dobry stosunek jakości do ceny, niezawodna, mam w pracy ponad 2 lata, teraz kupuje do domu",18.0,18.0,2.0
negative,positive,[myszka],"[bardzo, dobra, myszka, do, normalnego, użytkowania, działa, na, każdej, powierzchni]",4.0,-0.1,Bardzo dobra myszka do normalnego użytkowania. Działa na każdej powierzchni.,10.0,10.0,1.0
positive,positive,[fajny],"[fajny, produkt, dobra, jakość, do, ceny]",4.0,0.25,"Fajny produkt, dobra jakość do ceny",6.0,6.0,1.0
negative,positive,"[myszka, plus]","[scroll, jeszcze, w, zupełności, ze, mną, nie, współpracuje, ale, myszka, jest, bardzo, poręczna, do, lapka, produkt, na, plus]",5.0,-0.05555555555555555,"scroll jeszcze w zupełności ze mną nie współpracuje, ale myszka jest bardzo poręczna do lapka. produkt na plus!",18.0,18.0,2.0
negative,positive,[myszka],"[zdecydowanie, ponad, przeciętna, myszka, czuła, lekka, i, wygodna]",5.0,-0.125,"Zdecydowanie ponad przeciętna myszka. Czuła, lekka i wygodna.",8.0,8.0,1.0
neutral,positive,[],"[bezprzewodowa, niezawodna, działa, na, każdej, powierzchni, idealna, do, laptopa]",4.0,0.0,"Bezprzewodowa. Niezawodna. Działa na każdej powierzchni, idealna do laptopa.",9.0,9.0,0.0
negative,positive,[myszka],"[bardzo, dobra, myszka, czuła, efektowana, efektywna, i, niezawodna]",5.0,-0.125,"Bardzo dobra myszka. Czuła, efektowana, efektywna i niezawodna.",8.0,8.0,1.0
neutral,positive,[],"[super, mysz, w, rewelacyjnej, cenie, bezprzewodowapolecam]",5.0,0.0,"Super mysz w rewelacyjnej cenie, bezprzewodowa.Polecam",6.0,6.0,0.0
neutral,negative,"[sympatyczny, gryzoń, łączność, bez, szkoda, jeden]","[sympatyczny, gryzoń, za, takie, pieniądze, nie, spodziewałem, się, jednak, cudów, mysz, dobrze, leży, w, dużej, dłoni, łączność, bezprzewodowa, bez, zarzutu, nanoodbiornik, nie, przeszkadza, a, paluszek, starcza, na, kilka, miesięcy, szkoda, tylko, że, kursor, gubi, się, na, nierównych, błyszczących, powierzchniach, jak, szkło, no, i, klapka, od, schowka, na, odbiornik, i, baterię, odpada, przy, właściwie, każdym, upadku, myszki, po, roku, odkleił, się, jeden, z, słabej, jakości, ślizgaczy]",3.0,0.0,"Sympatyczny gryzoń. Za takie pieniądze nie spodziewałem się jednak cudów. Mysz dobrze leży w dużej dłoni. Łączność bezprzewodowa bez zarzutu, nanoodbiornik nie przeszkadza, a paluszek starcza na kilka miesięcy. Szkoda tylko, że kursor gubi się na nierównych, błyszczących powierzchniach jak szkło. No i klapka od schowka na odbiornik i baterię odpada przy właściwie każdym upadku myszki. Po roku odkleił się jeden z słabej jakości ślizgaczy.",65.0,65.0,6.0
neutral,positive,[],"[trochę, mało, dokładna, trochę, kiepsko, leży, w, ręku, ale, za, 46zł, jest, bardzo, ok, przyzwyczaiłem, się, do, swojej, g9]",4.0,0.0,"Trochę mało dokładna, trochę kiepsko leży w ręku, ale za 46zł jest bardzo ok, przyzwyczaiłem się do swojej g9 ;]",20.0,19.0,0.0
positive,positive,"[firma, dzisiejszy]","[mam, nadziejeże, parametry, oraz, firma, jest, gwarantem, perfekcyjnego, długiego, działania, na, dzień, dzisiejszy, ok]",5.0,0.07142857142857142,"Mam nadzieje,że parametry oraz firma jest gwarantem perfekcyjnego, długiego działania. Na dzień dzisiejszy OK.",14.0,14.0,2.0
neutral,positive,[],"[jak, zwykle, logitech, ponad, resztą]",5.0,0.0,jak zwykle logitech ponad resztą.,5.0,5.0,0.0
neutral,positive,[],"[spisuje, się, świetnie, oby, tak, dalej]",5.0,0.0,"Spisuje się świetnie, Oby tak dalej.",6.0,6.0,0.0
negative,positive,[myszka],"[bardzo, dobra, myszka, rewelacja, bardzo, dobra, jakość, i, adekwatna, cena]",5.0,-0.1,bardzo dobra myszka rewelacja!!! bardzo dobra jakość i adekwatna cena.,10.0,10.0,1.0
negative,positive,[myszka],"[bardzo, dobra, myszka, nie, taka, mała, idealna, dla, moich, potrzeb, czuła, długo, ""trzyma"", przy, moim, notebooku, idealna]",5.0,-0.058823529411764705,"Bardzo dobra myszka. Nie taka mała, idealna dla moich potrzeb, Czuła, długo ""trzyma"". Przy moim notebooku - idealna!",18.0,17.0,1.0
positive,positive,[czułość],"[mysz, jest, bardzo, lekka, praktyczna, i, zwyczajnie, prosta, to, dla, mnie, pozytywne, zaskoczenie, użytkuję, ją, od, roku, codziennie, po, kilka, godzin, w, dodatku, na, gnulinux, mysz, nie, sprawia, totalnie, żadnych, problemów, dlatego, bardzo, polecam, działa, na, różnym, rodzaju, podłoża, ma, spory, zasięg, nie, zawiesza, się, czułość, myszy, do, codziennej, pracy, z, laptopem, jest, zdecydowanie, wystarczająca, zresztą, można, wzmocnić, czułośćszybkość, myszy, w, ustawieniach, komputera, kolejna, mysz, również, będzie, z, tej, firmy, bo, te, produkty, są, zwyczajnie, niezawodne, w, tej, cenie, to, dałbym, nawet, ocenę, 55]",5.0,0.023809523809523808,"Mysz jest bardzo lekka, praktyczna i zwyczajnie prosta. To dla mnie pozytywne zaskoczenie. Użytkuję ją od roku (codziennie po kilka godzin). W dodatku na GNU/Linux. Mysz nie sprawia totalnie żadnych problemów, dlatego bardzo polecam. Działa na różnym rodzaju podłoża, ma spory zasięg, nie zawiesza się. Czułość myszy do codziennej pracy z laptopem jest zdecydowanie wystarczająca. Zresztą można wzmocnić czułość/szybkość myszy w ustawieniach komputera. Kolejna mysz również będzie z tej firmy, bo te produkty są zwyczajnie NIEZAWODNE! W tej cenie to dałbym nawet ocenę 5/5",84.0,84.0,1.0
neutral,positive,[],[wygodna],4.0,0.0,Wygodna.,1.0,1.0,0.0
negative,negative,"[krótki, czas, ogólnie, kiepski]","[bardzo, krótki, czas, pracy, baterii, brak, gumowatej, wykładziny, bocznej, ogólnie, kiepski, produkt]",2.0,-0.18333333333333335,Bardzo krótki czas pracy baterii. Brak gumowatej wykładziny bocznej. Ogólnie - kiepski produkt.,13.0,12.0,4.0
negative,positive,[myszka],"[myszka, super, lekka, tylko, na, 1, baterię, nie, zawiesza, się]",5.0,-0.1,"Myszka super: lekka, tylko na 1 baterię, nie zawiesza się.",10.0,10.0,1.0
neutral,positive,[],"[mysz, świetna]",4.0,0.0,mysz świetna,2.0,2.0,0.0
negative,positive,[myszka],"[świetna, myszka, prosta, wygodna, niezawodna]",4.0,-0.2,"świetna myszka. Prosta, wygodna, niezawodna.",5.0,5.0,1.0
negative,positive,[myszka],"[myszka, super, żadnych, problemów, z, jej, użytkowaniem, długo, trzyma, baterie]",5.0,-0.1,myszka super. żadnych problemów z jej użytkowaniem. długo trzyma baterie,10.0,10.0,1.0
positive,positive,"[bez, precyzja]","[myszkę, mam, od, kilku, dni, jest, lekka, dobrze, leży, w, dłoni, działa, bez, problemu, na, różnych, podłożach, mimo, iż, posiada, ""tylko"", 800, dpi, nie, ma, problemu, z, precyzja, działania, nie, wiem, jak, spisywałaby, się, w, grach, ale, do, laptopa, doskonała]",5.0,0.025,"Myszkę mam od kilku dni. Jest lekka, dobrze leży w dłoni, działa bez problemu na różnych podłożach. Mimo iż posiada ""tylko"" 800 dpi nie ma problemu z precyzja działania. Nie wiem jak spisywałaby się w grach, ale do laptopa doskonała.",40.0,40.0,2.0
positive,positive,[idealny],"[idealny, jak, za, ta, cene]",5.0,0.2,Idealny jak za ta cene,5.0,5.0,1.0
neutral,positive,[bez],"[mysz, super, działa, bez, zarzutów, wpinasz, i, cieszysz, się, nową, myszką]",5.0,0.0,"Mysz super, działa bez zarzutów. Wpinasz i cieszysz się nową myszką.",11.0,11.0,1.0
neutral,positive,[],"[znany, wcześniej, dobrej, jakości]",4.0,0.0,Znany wcześniej - dobrej jakości.,5.0,4.0,0.0
neutral,positive,[fakt],"[polecam, chodzi, świetnie, płynnie, nie, to, co, przewodowa, którą, miałam, trochę, głośno, to, fakt, ale, za, tą, cenę, jakość, jest, świetna]",5.0,0.0,"polecam, chodzi świetnie, płynnie, nie to co przewodowa którą miałam, trochę głośno, to fakt, ale za tą cenę, jakość jest świetna",21.0,21.0,1.0
negative,positive,"[porządnie, myszka, każdy, ruch]","[porządnie, zrobiona, myszka, czuła, na, każdy, ruch]",4.0,-0.14285714285714285,"porządnie zrobiona myszka, czuła na każdy ruch",7.0,7.0,4.0
neutral,positive,[],"[dobra, jakość]",4.0,0.0,dobra jakość,2.0,2.0,0.0
positive,positive,"[dobry, godny]","[tani, i, dobry, godny, polecenia]",4.0,0.4866666666666667,Tani i dobry godny polecenia,5.0,5.0,2.0
neutral,positive,[],"[produkt, wysokiej, jakości, polecam]",5.0,0.0,Produkt wysokiej jakości. Polecam!,4.0,4.0,0.0
neutral,positive,[],"[trochę, mała, dobra, do, notebooka, mimo, to, wygodna, i, dobrze, działa, do, normalnej, obsługi, nie, gram]",4.0,0.0,"Trochę mała, dobra do notebooka. Mimo to wygodna i dobrze działa. Do normalnej obsługi, nie gram.",16.0,16.0,0.0
negative,positive,"[dobry, stosunek, myszka]","[bardzo, dobry, stosunek, jakości, do, ceny, myszka, godna, polecenia, pracuje, lepiej, niż, przewodowa]",5.0,-0.005128205128205127,"Bardzo dobry stosunek jakości do ceny 
myszka godna polecenia, pracuje lepiej niż przewodowa",13.0,13.0,3.0
negative,positive,"[myszka, bez]","[myszka, sprawuje, się, dobrze, mam, nadzieję, że, dalej, będzie, działa, bez, zarzutu]",5.0,-0.08333333333333333,"Myszka sprawuje się dobrze, mam nadzieję, że dalej będzie działa bez zarzutu.",12.0,12.0,2.0
neutral,positive,[],"[lekka, dobrze, leży, w, dłoni, wyłącznik, baterii, pozwala, zaoszczędzić, na, żywotności, baterii]",4.0,0.0,"Lekka, dobrze leży w dłoni.
Wyłącznik baterii pozwala zaoszczędzić na żywotności baterii.",12.0,12.0,0.0
neutral,positive,[],[bomba],4.0,0.0,Bomba!,1.0,1.0,0.0
neutral,positive,[],"[mysz, bardzo, dobra, precyzyjna, szybko, reaguje, i, dłuuuugo, działa, na, jednej, bateriiakumulatorku]",4.0,0.0,"Mysz bardzo dobra: precyzyjna, szybko reaguje i dłuuuugo działa na jednej baterii/akumulatorku.",12.0,12.0,0.0
neutral,positive,[],"[idealna, mysz, do, codziennych, zadań, w, bardzo, dobrej, cenie]",5.0,0.0,Idealna mysz do codziennych zadań w bardzo dobrej cenie.,9.0,9.0,0.0
neutral,positive,[],"[idealnie, dopasowana, do, dłoni]",4.0,0.0,Idealnie dopasowana do dłoni,4.0,4.0,0.0
positive,negative,"[precyzja, krzyżyk]","[materiał, wykonania, ok, aczkolwiek, co, do, wykończenia, na, krawędziach, pozostawia, nieco, do, życzenia, bardzo, kiepska, precyzja, win7prox64, trzeba, się, nieco, postarać, żeby, trafić, w, np, krzyżyk, zakładki, przeglądarki, cena, w, stosunku, do, jakości, 110]",2.0,0.029411764705882353,"Materiał wykonania - ok, aczkolwiek co do wykończenia na krawędziach pozostawia nieco do życzenia. 
Bardzo kiepska precyzja (Win7ProX64). Trzeba się nieco postarać żeby trafić w np. krzyżyk zakładki przeglądarki.
Cena w stosunku do jakości - 1/10.",36.0,34.0,2.0
neutral,positive,[],"[jak, dotąd, super, po, tygodniu, od, zakupu]",5.0,0.0,JAK DOTĄD SUPER - PO TYGODNIU OD ZAKUPU,8.0,7.0,0.0
negative,positive,"[myszka, mały, go, ja, go]","[świetna, myszka, do, zastosowań, biurowych, działam, na, laptopie, dlatego, kupiłem, myszkę, bezprzewodową, odbiornik, jest, bardzo, mały, i, można, go, schować, w, myszce, choć, ja, go, nigdy, nie, usuwam, z, portu, komputera]",5.0,-0.06451612903225806,"Świetna myszka do zastosowań biurowych. Działam na laptopie, dlatego kupiłem myszkę bezprzewodową. Odbiornik jest bardzo mały i można go schować w myszce (choć ja go nigdy nie usuwam z portu komputera)",31.0,31.0,5.0
positive,positive,"[godny, myszka]","[produkt, godny, polecenia, myszka, zgrabna, niestrudzona, wykonuje, swe, zadania]",5.0,0.05555555555555555,"Produkt godny polecenia, myszka zgrabna niestrudzona, wykonuje swe zadania.",9.0,9.0,2.0
negative,positive,[myszka],"[bardzo, dobra, myszka, łatwa, w, obsłudze]",5.0,-0.16666666666666666,"Bardzo dobra myszka, łatwa w obsłudze.",6.0,6.0,1.0
neutral,positive,[czas],"[pasuje, do, ręki, nie, trzeba, instalowaćdługi, czas, pracy, tylko, jedna, bateria, 3, lata, gwarancji, niska, cenapolecam]",5.0,0.0,"Pasuje do ręki, nie trzeba instalować,długi czas pracy, tylko jedna bateria, 3 lata gwarancji, niska cena.Polecam.",16.0,16.0,1.0
neutral,positive,[bez],"[działa, bez, zarzutu, bardzo, wygodna]",5.0,0.0,Działa bez zarzutu. Bardzo wygodna.,5.0,5.0,1.0
neutral,positive,[],"[myszkę, dopiero, odpaliłem, ale, już, jestem, nią, zachwycony, nanoodbiornik, typu, podłącz, i, zapomnij, jest, praktycznie, niewidoczny, błyskawiczna, komunikacja, myszy, z, odbiornikiem, w, zestawie, bateria, duracell, a, nie, jakieś, tajwańskie, nie, wiadomo, co, polecam]",5.0,0.0,"Myszkę dopiero odpaliłem ale już jestem nią zachwycony. Nanoodbiornik typu Podłącz i Zapomnij jest praktycznie niewidoczny. Błyskawiczna komunikacja myszy z odbiornikiem. W zestawie bateria Duracell a nie jakieś tajwańskie nie wiadomo co.

Polecam.",33.0,33.0,0.0
positive,positive,"[małe, małe, potrzeba, miejsce]","[rewelacja, małe, ale, nie, za, małe, szybkie, nie, potrzeba, sterowników, myszy, otwiera, się, z, tyłu, ""odwłok"", gdzie, jest, miejsce, na, bateryjkę, i, nadajnik, można, ją, wziąć, wszędzie, i, wszędzie, będzie, pasować]",5.0,0.03225806451612903,"Rewelacja. Małe, ale nie za małe. Szybkie. Nie potrzeba sterowników. Myszy otwiera się z tyłu ""odwłok"", gdzie jest miejsce na bateryjkę i nadajnik. Można ją wziąć wszędzie i wszędzie będzie pasować.",31.0,31.0,4.0
negative,positive,"[myszka, minus]","[super, myszka, do, laptopajedyny, minus, to, trochę, za, głośna, rolka, przy, przewijaniu, w, górę, ale, polecam]",4.0,-0.125,"Super myszka do laptopa.Jedyny minus to trochę za głośna rolka przy przewijaniu w górę, ale polecam",16.0,16.0,2.0
neutral,positive,[],"[super, leciutka, wygodna, dosknały, zasieg, polecam]",4.0,0.0,"SUPER !!! LECIUTKA, WYGODNA, DOSKNAŁY ZASIEG. POLECAM!",7.0,6.0,0.0
positive,positive,"[dobry, doskonały]","[bardzo, dobry, produkt, z, ogromną, przyjemnością, mogę, polecić, osobom, które, mają, dylemat, z, wyborem, myszy, niezawodny, i, doskonały, produkt, polecam]",5.0,0.10666666666666666,"Bardzo dobry produkt. Z ogromną przyjemnością mogę polecić osobom, które mają dylemat z wyborem myszy. Niezawodny i doskonały produkt. POLECAM!!!!",20.0,20.0,2.0
neutral,positive,[],"[zgodna, z, oczekiwaniami]",4.0,0.0,Zgodna z oczekiwaniami.,3.0,3.0,0.0
negative,negative,"[gryzoń, fajny, poza, który, praca]","[gryzoń, fajny, poza, jednym, szkopułem, który, nie, został, opisany, a, jest, tak, naprawdę, najważniejszy, praca, na, baterii, jest, bardzo, krótka]",2.0,-0.075,"Gryzoń fajny poza jednym szkopułem, który nie został opisany a jest tak naprawdę najważniejszy. Praca na baterii jest bardzo krótka.",20.0,20.0,5.0
positive,positive,[żywotność],"[ergonomicznaprosty, montażpodłączeniedługa, żywotność, bateriiautomatyczne, wyłączenie, gdy, nie, jest, w, użyciu]",5.0,0.15,"Ergonomiczna,prosty montaż-podłączenie,długa żywotność baterii,automatyczne wyłączenie gdy nie jest w użyciu.",10.0,10.0,1.0
positive,positive,"[towar, zgodny, myszka]","[towar, zgodny, z, opisem, myszka, działa, jak, powinna, do, tego, jak, to, mówią, ""od, pierwszego, kopa""]",4.0,0.0625,"Towar zgodny z opisem. Myszka działa jak powinna, do tego jak to mówią ""od pierwszego kopa""",16.0,16.0,3.0
negative,positive,[myszka],"[myszka, jest, rewelacyjna]",5.0,-0.3333333333333333,myszka jest rewelacyjna,3.0,3.0,1.0
neutral,positive,[],"[za, tą, cenę, rewelacja]",4.0,0.0,Za tą cenę - rewelacja.,5.0,4.0,0.0
neutral,negative,[],"[po, ok, 45, miesiącach, się, zepsuła, i, nie, wiem, dalej, dlaczego]",1.0,0.0,Po ok 4-5 miesiącach się zepsuła i nie wiem dalej dlaczego,11.0,11.0,0.0
neutral,positive,[nim],"[produkt, wysokiej, jakosci, bardzo, dobrze, nim, sie, pracuje]",4.0,0.0,"Produkt wysokiej jakosci, bardzo dobrze nim sie pracuje.",8.0,8.0,1.0
neutral,positive,[],"[mała, i, zgrabna]",5.0,0.0,mała i zgrabna,3.0,3.0,0.0
neutral,positive,[],"[myszke, ktura, zamowilem, spelnila, moje, oczekiwania, w, 100, moze, plastik, mogl, by, byc, lepszy, ale, za, ta, cene, jest, naprawde, ok, polecam]",4.0,0.0,Myszke ktura zamowilem spelnila moje oczekiwania w 100% Moze plastik mogl by byc lepszy ale za ta cene jest naprawde o.k polecam.,22.0,22.0,0.0
negative,negative,[porażka],"[na, akumulatorku, 1, max, 2, dni, porażka]",1.0,-0.2857142857142857,na akumulatorku  1 max 2 dni - porażka!,8.0,7.0,1.0
negative,positive,[gorąco],"[produkt, super, gorąco, polecam]",5.0,-0.25,produkt super! Gorąco polecam!,4.0,4.0,1.0
neutral,positive,[],"[działa, jest, mniejsza, od, standardowej, myszy, więc, nie, można, na, niej, oprzeć, ręki, ale, można, się, przyzwyczaić, za, to, jest, bardziej, ""podróżna"", baterii, na, razie, nie, mogę, ocenić, bo, używam, ją, dopiero, tydzień]",4.0,0.0,"Działa. Jest mniejsza od standardowej myszy, więc nie można na niej oprzeć ręki, ale można się przyzwyczaić. Za to jest bardziej ""podróżna"". Baterii na razie nie mogę ocenić, bo używam ją dopiero tydzień.",33.0,33.0,0.0
neutral,positive,[],"[po, dwóch, dniach, użytkowania, jest, ok]",4.0,0.0,Po dwóch dniach użytkowania jest OK,6.0,6.0,0.0
negative,positive,[myszka],"[bardzo, wygodna, mała, myszka, nanoodbiornik, to, genialna, rzecz, dzięki, niemu, mysz, idealnie, nadaje, się, do, laptopów, w, windows, 7, nie, ma, żadnych, problemów, z, połączeniem, za, tą, cenę, rewelacja]",5.0,-0.034482758620689655,"Bardzo wygodna, mała myszka. Nanoodbiornik to genialna rzecz. Dzięki niemu mysz idealnie nadaje się do laptopów. W Windows 7 nie ma żadnych problemów z połączeniem. Za tą cenę - rewelacja.",30.0,29.0,1.0
neutral,positive,[],"[ok, działa, w, porządku]",4.0,0.0,OK. Działa w porządku.,4.0,4.0,0.0
negative,positive,[myszka],"[myszka, rewelacyjna, zobaczymy, jak, się, spisze, na, dłuższą, metę]",4.0,-0.1111111111111111,Myszka rewelacyjna ;) Zobaczymy jak się spisze na dłuższą metę.,10.0,9.0,1.0
negative,positive,[myszka],"[super, myszka, za, super, niską, cenę, precyzyjna, dobrze, wykonana, no, i, nanoodbiornik, podłączasz, i, używasz, polecam, tą, mysz, zdecydowanie]",4.0,-0.05263157894736842,"Super myszka  za super niską cenę. Precyzyjna, dobrze wykonana no i nanoodbiornik - podłączasz i używasz. POLECAM tą mysz zdecydowanie!!!",20.0,19.0,1.0
negative,positive,[myszka],"[bardzo, fajna, myszka]",4.0,-0.3333333333333333,bardzo fajna myszka,3.0,3.0,1.0
neutral,positive,[],"[bardzo, dobra, wygodna, mysz, za, niewielkie, pieniądze]",4.0,0.0,"Bardzo dobra, wygodna mysz za niewielkie pieniądze",7.0,7.0,0.0
negative,positive,[myszka],"[bardzo, dobra, mala, myszka]",5.0,-0.25,bardzo dobra mala myszka,4.0,4.0,1.0
neutral,positive,"[wrażenie, bez]","[pierwsze, wrażenie, pozytywne, działa, bez, zarzutu]",5.0,0.0,"pierwsze wrażenie pozytywne, działa bez zarzutu",6.0,6.0,2.0
positive,positive,"[dobry, zadowolony]","[ilość, dobry, opinii, na, temat, tej, myszki, przekonał, mnie, do, kupna, właśnie, tego, modelu, od, chwili, użytkowania, owej, myszki, jestem, w, pełni, zadowolony, z, tego, zakupu]",4.0,0.07435897435897436,"ilość dobry opinii na temat tej myszki przekonał mnie do kupna właśnie tego modelu, od chwili użytkowania owej myszki jestem w pełni zadowolony z tego zakupu.",26.0,26.0,2.0
positive,positive,"[kabel, dobry]","[bardzo, dobra, mysz, dobrze, leży, w, dłoni, i, kabel, już, się, nie, plącze, dobry, zasięg, myszy, po, podłączeniu, laptopa, do, tv, można, ze, spokojem, śmigać, myszką, z, łóżka, oddalonego, o, kilka, metrów]",5.0,0.029166666666666667,"Bardzo dobra mysz, dobrze leży w dłoni i kabel już się nie plącze. Dobry zasięg myszy, po podłączeniu laptopa do tv można ze spokojem śmigać myszką z łóżka oddalonego o kilka metrów",32.0,32.0,2.0
neutral,positive,[],"[bardzo, wygodna]",4.0,0.0,Bardzo wygodna !!!,3.0,2.0,0.0
neutral,positive,"[bez, konstrukcja]","[mysz, dobrze, leży, w, ręku, reaguje, bez, opóźnienia, zwarta, konstrukcja]",4.0,0.0,"Mysz dobrze leży w ręku, reaguje bez opóźnienia   Zwarta konstrukcja",10.0,10.0,2.0
negative,positive,[myszka],"[krótko, rewelacyjna, myszka]",5.0,-0.3333333333333333,Krótko - rewelacyjna myszka,4.0,3.0,1.0
negative,positive,"[myszka, myszka]","[myszka, jak, myszka, ale, działa, tak, jak, należy]",4.0,-0.25,Myszka jak myszka ale działa tak jak należy.,8.0,8.0,2.0
neutral,positive,[],"[kompaktowa, i, wysokiej, jakości, mysz, logitecha, która, kosztuje, niewiele, więcej, od, dostępnej, w, supermarketach, chińszczyzny, polecam, do, netbooków]",5.0,0.0,"Kompaktowa i wysokiej jakości mysz Logitecha, która kosztuje niewiele więcej od dostępnej w supermarketach chińszczyzny. Polecam do netbooków.",18.0,18.0,0.0
neutral,positive,[],"[ok, polecam]",4.0,0.0,OK! Polecam,2.0,2.0,0.0
neutral,positive,[],"[znakomicie, wygodnie, i, komfortowo, służy, do, codziennej, pracy]",4.0,0.0,Znakomicie wygodnie i komfortowo służy do codziennej pracy.,8.0,8.0,0.0
neutral,positive,[sprawa],"[switna, sprawa, przyjemna, nie, za, duża, nano, odbiornik, bateria, starcza, na, 6, miesiecy, polecam]",5.0,0.0,switna sprawa przyjemna nie za duża nano odbiornik bateria starcza na 6 miesiecy polecam,14.0,14.0,1.0
negative,positive,"[myszka, ten]","[bardzo, fajna, i, praktyczna, myszka, polecam, ten, produkt]",5.0,-0.125,"Bardzo fajna i praktyczna myszka, polecam ten produkt.",8.0,8.0,2.0
positive,positive,[sprawny],"[100, sprawny, działa, ok]",4.0,0.28125,100% sprawny. Działa OK,4.0,4.0,1.0
neutral,positive,[],"[bardzo, fajna, i, wygodna, bezprzewodowa, mysz, renomowanej, firmy]",5.0,0.0,Bardzo fajna i wygodna bezprzewodowa mysz renomowanej firmy.,8.0,8.0,0.0
negative,positive,[myszka],"[fajna, myszka, za, niską, kase, funkcjonalna]",4.0,-0.16666666666666666,"fajna myszka za niską kase, funkcjonalna",6.0,6.0,1.0
positive,positive,"[precyzyjny, wygodny]","[precyzyjny, wygodny, w, użyciu, produkt]",4.0,0.2,"Precyzyjny, wygodny w użyciu produkt.",5.0,5.0,2.0
